Training on device: cuda

Starting Training...
Epoch 49/100 | Train Acc: 0.9981 | Val Acc: 0.9318 | Val Drum Loss: 0.2123 | Val Int Loss: 0.0335
Epoch 50/100 | Train Acc: 1.0000 | Val Acc: 0.9394 | Val Drum Loss: 0.2061 | Val Int Loss: 0.0337
Epoch 51/100 | Train Acc: 1.0000 | Val Acc: 0.9167 | Val Drum Loss: 0.2257 | Val Int Loss: 0.0326
Epoch 52/100 | Train Acc: 0.9962 | Val Acc: 0.9318 | Val Drum Loss: 0.2099 | Val Int Loss: 0.0365
Epoch 53/100 | Train Acc: 0.9981 | Val Acc: 0.9242 | Val Drum Loss: 0.2098 | Val Int Loss: 0.0315
Epoch 54/100 | Train Acc: 0.9981 | Val Acc: 0.9242 | Val Drum Loss: 0.2112 | Val Int Loss: 0.0337
Epoch 55/100 | Train Acc: 0.9981 | Val Acc: 0.9318 | Val Drum Loss: 0.2094 | Val Int Loss: 0.0352
Epoch 56/100 | Train Acc: 0.9981 | Val Acc: 0.9318 | Val Drum Loss: 0.2011 | Val Int Loss: 0.0322
Epoch 57/100 | Train Acc: 1.0000 | Val Acc: 0.9167 | Val Drum Loss: 0.2117 | Val Int Loss: 0.0347
Epoch 58/100 | Train Acc: 0.9981 | Val Acc: 0.9167 | Val Drum Loss: 0.2100 | Val Int Loss: 0.0336
Epoch 59/100 | Train Acc: 0.9981 | Val Acc: 0.9242 | Val Drum Loss: 0.2170 | Val Int Loss: 0.0361
Epoch 60/100 | Train Acc: 0.9981 | Val Acc: 0.9242 | Val Drum Loss: 0.2037 | Val Int Loss: 0.0381
Epoch 61/100 | Train Acc: 0.9981 | Val Acc: 0.9242 | Val Drum Loss: 0.2242 | Val Int Loss: 0.0317
Epoch 62/100 | Train Acc: 0.9981 | Val Acc: 0.9318 | Val Drum Loss: 0.1986 | Val Int Loss: 0.0331
Epoch 63/100 | Train Acc: 1.0000 | Val Acc: 0.9091 | Val Drum Loss: 0.2166 | Val Int Loss: 0.0323
Epoch 64/100 | Train Acc: 0.9981 | Val Acc: 0.9318 | Val Drum Loss: 0.2100 | Val Int Loss: 0.0318
Epoch 65/100 | Train Acc: 1.0000 | Val Acc: 0.9318 | Val Drum Loss: 0.2028 | Val Int Loss: 0.0339
